"min_temp_d1","max_temp_d1","rainfall_d1","sun_hours_d1","max_wind_speed_d1","temp_9_d1","Rel_hum_9_d1","cloud_cover_d1","wind_speed_9_d1","temp_15_d1","Rel_hum_3_d1","cloud_d1","wind_speed_3_d1","solar_irr_d1"
0.919431279620853,0.699029126213592,0.00109529025191676,0.774436090225564,0.261538461538462,0.878378378378378,0.581081081081081,0.625,0.00389559797428905,0.231441048034934,0.649484536082474,0.5,0.0107432366442035,0.725
0.909952606635071,0.621359223300971,0.00657174151150055,0.315789473684211,0.369230769230769,0.81981981981982,0.594594594594595,0.625,0.00681729645500584,0.196506550218341,0.701030927835051,0.875,0.0107432366442035,0.7125
0.744075829383886,0.684466019417476,0.0920043811610077,0.902255639097744,0.230769230769231,0.707207207207207,0.783783783783784,1,0.00389559797428905,0.203784570596798,0.649484536082474,0.75,0.00878992089071198,0.3125
0.777251184834123,0.58252427184466,0,0.285714285714286,0.138461538461538,0.797297297297297,0.472972972972973,0.5,0.00681729645500584,0.211062590975255,0.536082474226804,0.375,0.0107432366442035,0.775
0.76303317535545,0.650485436893204,0.11829134720701,0.909774436090225,0.338461538461538,0.761261261261261,0.608108108108108,0.875,0.00389559797428905,0.136826783114993,0.814432989690722,0.875,0.00195331575349155,0.2875
0.720379146919431,0.533980582524272,0,0.270676691729323,0.338461538461538,0.765765765765766,0.513513513513514,0.875,0.0126606934164394,0.20669577874818,0.484536082474227,0.375,0.0146498681511866,0.9
0.682464454976303,0.597087378640777,0.00985761226725082,0.293233082706767,0.307692307692308,0.765765765765766,0.540540540540541,0.875,0.0126606934164394,0.174672489082969,0.597938144329897,0.875,0.00683660513722043,0.425
0.729857819905213,0.650485436893204,0.0197152245345016,0.887218045112782,0.230769230769231,0.702702702702703,0.594594594594595,0.75,0.00876509544215037,0.165938864628821,0.711340206185567,0.875,0.00488328938372888,0.4625
0.791469194312796,0.684466019417476,0,0.819548872180451,0.261538461538462,0.761261261261261,0.527027027027027,0.5,0.00194779898714453,0.211062590975255,0.608247422680412,0.25,0.0107432366442035,0.8
0.853080568720379,0.587378640776699,0,0.0676691729323308,0.123076923076923,0.815315315315315,0.527027027027027,0.375,0.00876509544215037,0.215429403202329,0.556701030927835,0.75,0.0107432366442035,0.8875
0.81042654028436,0.694174757281553,0.0799561883899233,0.0827067669172932,0.307692307692308,0.761261261261261,0.702702702702703,0.875,0.00194779898714453,0.181950509461426,0.762886597938144,0.875,0.00683660513722043,0.25
0.815165876777251,0.597087378640777,0.211391018619934,0.165413533834586,0.2,0.72072072072072,0.77027027027027,1,0.00194779898714453,0.13391557496361,0.958762886597938,1,0.0039066315069831,0.2625
0.90521327014218,0.689320388349514,0.00109529025191676,0.293233082706767,0.307692307692308,0.743243243243243,0.72972972972973,0.875,0.00486949746786132,0.183406113537118,0.701030927835051,0.875,0.0107432366442035,0.325
0.900473933649289,0.966019417475728,0,0.834586466165413,0.4,0.77027027027027,0.540540540540541,0.875,0.00389559797428905,0.215429403202329,0.690721649484536,0.875,0.0107432366442035,0.3625
0.838862559241706,0.796116504854369,0,0.984962406015037,0.2,0.882882882882883,0.567567567567568,0.75,0.00876509544215037,0.305676855895196,0.371134020618557,0.375,0.017579841781424,0.9
0.881516587677725,0.932038834951456,0,0.954887218045113,0.2,0.869369369369369,0.432432432432432,0.125,0.00194779898714453,0.240174672489083,0.608247422680412,0.125,0.0107432366442035,0.9875
0.971563981042654,1,0,0.879699248120301,0.292307692307692,0.86036036036036,0.581081081081081,0.125,0.00389559797428905,0.25764192139738,0.608247422680412,0.375,0.00683660513722043,0.8625
1,0.762135922330097,0,0.699248120300752,0.307692307692308,0.95045045045045,0.554054054054054,0.375,0.00389559797428905,0.279475982532751,0.525773195876289,0.25,0.0107432366442035,0.9
0.720379146919431,0.635922330097087,0.1960569550931,0.706766917293233,0.369230769230769,0.887387387387387,0.635135135135135,0.5,0.0107128944292949,0.2372634643377,0.587628865979381,0.375,0.0126965523976951,0.7625
0.753554502369668,0.674757281553398,0.00109529025191676,0.601503759398496,0.261538461538462,0.72072072072072,0.581081081081081,0.875,0.0107128944292949,0.192139737991266,0.587628865979381,0.75,0.0146498681511866,0.65
0.843601895734597,0.606796116504854,0.00547645125958379,0.157894736842105,0.307692307692308,0.617117117117117,0.783783783783784,0.875,0.00389559797428905,0.193595342066958,0.649484536082474,0.875,0.0107432366442035,0.7625
0.786729857819905,0.422330097087379,0.549835706462212,0,0.4,0.797297297297297,0.581081081081081,1,0.00486949746786132,0.176128093158661,0.783505154639175,1,0.0107432366442035,0.275
0.691943127962085,0.713592233009709,0.357064622124863,0.406015037593985,0.169230769230769,0.545045045045045,0.932432432432432,1,0.00389559797428905,0.119359534206696,0.969072164948454,1,0.0039066315069831,0
0.791469194312796,1,0,0.947368421052632,0.261538461538462,0.671171171171171,0.810810810810811,1,0.00486949746786132,0.232896652110626,0.597938144329897,0.75,0,0.5125
0.924170616113744,0.825242718446602,0,0.586466165413534,0.292307692307692,0.873873873873874,0.581081081081081,0.125,0.00194779898714453,0.260553129548763,0.597938144329897,0.25,0.00683660513722043,0.8875
0.867298578199052,0.684466019417476,0,0.691729323308271,0.292307692307692,0.95045045045045,0.567567567567568,0.375,0.00194779898714453,0.25764192139738,0.54639175257732,0.75,0.0126965523976951,0.7625
0.66824644549763,0.58252427184466,0.0284775465498357,0.075187969924812,0.338461538461538,0.837837837837838,0.513513513513514,0.625,0.00681729645500584,0.200873362445415,0.639175257731959,0.625,0.0107432366442035,0.6375
